Group,Product,SKUs,Ingredients,Ingredient source,Current Shopify tax setup,Proposed HSN,Proposed GST,Classification rationale,Could move out of Chapter 09?,Confidence,CA decision - HSN,CA decision - GST rate,CA notes
1. Pure/single spice,Chilli Powder,VM-EPP-CHP-100; VM-EPP-CHP-200; VM-EPP-CHP-500; VM-EPP-CHP-1000,Chilli; not more than 2% edible refined veg. oil (cottonseed),Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0904 22,5%,Ground capsicum; oil admixture is a permitted spice-standard additive,Check - confirm the <=2% oil does not change heading,High,,,
1. Pure/single spice,Chillie Flakes,VM-ETC-CFL-012,Crush Chilli (Ground Spices); FSSAI food cat. 12.2.1,Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0904 22,5%,Crushed capsicum,No,High,,,
1. Pure/single spice,Turmeric Powder,VM-EPP-TUR-100; VM-EPP-TUR-200; VM-EPP-TUR-500; VM-EPP-TUR-1000,Turmeric,Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 30,5%,Ground turmeric,No,High,,,
1. Pure/single spice,Coriander Powder,VM-EPP-COR-100; VM-EPP-COR-200; VM-EPP-COR-500; VM-EPP-COR-1000,Coriander,Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0909 22,5%,Ground coriander seed,No,High,,,
1. Pure/single spice,Methi Powder,VM-EPP-MTH-500,Dry Fenugreek,Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 99,5%,Fenugreek seed falls under 0910,No,High,,,
1. Pure/single spice,Cumin Powder,VM-ETC-CUM-012; VM-EPP-CUM-500,"Unverified - description: jeera, roasted and ground",No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0909 32,5%,Ground cumin if single-ingredient,Only if pack shows additives,Needs CA confirmation,,,
1. Pure/single spice,Dry Ginger Powder,VM-ETC-DGP-012; VM-EPP-DGP-050; VM-EPP-DGP-500,Unverified - description: dried ginger ground,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 12,5%,Ground dried ginger if single-ingredient,Only if pack shows additives,Needs CA confirmation,,,
1. Pure/single spice,Kashmiri Chilli Powder,VM-EPP-KCP-100; VM-EPP-KCP-200; VM-EPP-KCP-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0904 22,5%,Ground capsicum if single-ingredient (may carry <=2% oil),Only if pack shows additives,Needs CA confirmation,,,
2. Spice-only mixture,Coriander & Cumin Powder,VM-EPP-CCP-100; VM-EPP-CCP-200; VM-EPP-CCP-500,"Coriander, Cumin",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91,5%,Chapter 09 Note 1(b): mixture of spices of different headings,No,High,,,
3. Blend with non-spice ingredients,Classic Garam Masala,VM-GM-CLS-050,"Coriander, Chillies, Sesame Seed, Cloves, Star Aniseed, Stone Flower, Nutmeg, Fennel Seed, Cumin Seed, Cinnamon Leaves, Cinnamon, Black Pepper, Iodised Salt, Cardamom Amomum, Mace, Turmeric, Cottonseed Oil. Label: spice content 80%; salt less than 10%",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,"Salt, oil and sesame present; 80% spice content",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Rajwadi Garam Masala,VM-GM-RAJ-050; VM-GM-RAJ-100; VM-GM-RAJ-200; VM-GM-RAJ-500,"Coriander, Chillies, Sesame, Cloves, Star Aniseeds, Stone Flower, Nutmeg, Fennel Seeds, Cumin Seeds, Cinnamon Leaves, Cinnamon, Iodised Salt, Black Pepper, Mace, Turmeric, Cardamom Amomum, Cotton Seeds Oil. Label: PROPRIETARY FOOD - NOT CURRY POWDER",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 0910 91,5%,"Salt, oil, sesame; labelled proprietary food",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Aachar (Athana) Masala,VM-ETC-ACH-012; VM-ACH-AAM-100; VM-ACH-AAM-200; VM-ACH-AAM-500,"Fenugreek, Chillies, Iodised Salt, Mustard Oil, Mustard Dal, Compounded Asafoetida, Turmeric",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,"Salt, mustard oil, compounded hing (wheat flour)",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Gol Keri Aachar Masala,VM-ACH-GKR-200; VM-ACH-GKR-500,"Chillies, Dry Dates, Coriander Dal, Iodized Salt, Cotton Seed Oil, Mustard Dal, Fenugreek, Fennel Seeds, Black Pepper, Cinnamon, Compounded Asafoetida, Turmeric. Label: PROPRIETARY FOOD - NOT CURRY POWDER",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,"Dates, salt, oil; labelled proprietary food",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Chutney Masala,VM-ETC-CHU-035,"Sugar, Corn Flour, Dry Mango Powder, Black Salt, Iodized Salt, Beet, Chillies, Cloves, Compounded Asafoetida, Citric Acid",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 2106 90,5% if 2103 90,"Sugar is the first ingredient; starch, salt, beet, citric acid",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Dabeli Masala,VM-ETC-DAB-018,"Sugar, Chillies, Dry Mango Powder, Iodized Salt, Black Salt, Beet, Cloves, Star Aniseed, Cumin Seed, Compounded Asafoetida, Turmeric, Citric Acid",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,"Sugar first; salt, beet, citric acid",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Egg Curry Masala,VM-ETC-EGG-012,"Coriander, Cumin, Chilli, Garlic Powder, Gram Flour, Iodized Salt, Dry Mango Powder, Cotton Seeds Oil. Label: PROPRIETARY FOOD - NOT CURRY POWDER",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,"Garlic, gram flour, salt, oil; labelled proprietary food",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
